Starting job 592977 on c2-7 at Wed Apr 15 01:44:17 CEST 2020

  1) StdEnv
which: no java in (/node/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/cluster/bin:/cluster/home/michaelm/.local/bin:/cluster/home/michaelm/bin)
--2020-04-15 01:44:19--  https://github.com/CompEvol/beast2/releases/download/v2.6.2/BEAST.v2.6.2.Linux.tgz
Resolving github.com (github.com)... 140.82.118.4
Connecting to github.com (github.com)|140.82.118.4|:443... connected.
HTTP request sent, awaiting response... 302 Found
Location: https://github-production-release-asset-2e65be.s3.amazonaws.com/15949777/4b7ecf00-5c8c-11ea-8352-e1e24709250e?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A%2F20200414%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200414T234419Z&X-Amz-Expires=300&X-Amz-Signature=a32b9a36db96910242e5fd80dc7089bdd3eea8abca600fb685dade8197972e20&X-Amz-SignedHeaders=host&actor_id=0&repo_id=15949777&response-content-disposition=attachment%3B%20filename%3DBEAST.v2.6.2.Linux.tgz&response-content-type=application%2Foctet-stream [following]
--2020-04-15 01:44:20--  https://github-production-release-asset-2e65be.s3.amazonaws.com/15949777/4b7ecf00-5c8c-11ea-8352-e1e24709250e?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A%2F20200414%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200414T234419Z&X-Amz-Expires=300&X-Amz-Signature=a32b9a36db96910242e5fd80dc7089bdd3eea8abca600fb685dade8197972e20&X-Amz-SignedHeaders=host&actor_id=0&repo_id=15949777&response-content-disposition=attachment%3B%20filename%3DBEAST.v2.6.2.Linux.tgz&response-content-type=application%2Foctet-stream
Resolving github-production-release-asset-2e65be.s3.amazonaws.com (github-production-release-asset-2e65be.s3.amazonaws.com)... 52.216.128.243
Connecting to github-production-release-asset-2e65be.s3.amazonaws.com (github-production-release-asset-2e65be.s3.amazonaws.com)|52.216.128.243|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 8420561 (8.0M) [application/octet-stream]
Saving to: ‘BEAST.v2.6.2.Linux.tgz’

     0K .......... .......... .......... .......... ..........  0%  204K 40s
    50K .......... .......... .......... .......... ..........  1% 3.30M 21s
   100K .......... .......... .......... .......... ..........  1%  411K 21s
   150K .......... .......... .......... .......... ..........  2% 2.90M 16s
   200K .......... .......... .......... .......... ..........  3%  558K 16s
   250K .......... .......... .......... .......... ..........  3% 3.36M 13s
   300K .......... .......... .......... .......... ..........  4% 5.10M 12s
   350K .......... .......... .......... .......... ..........  4%  514K 12s
   400K .......... .......... .......... .......... ..........  5% 4.70M 11s
   450K .......... .......... .......... .......... ..........  6% 5.04M 10s
   500K .......... .......... .......... .......... ..........  6%  484K 10s
   550K .......... .......... .......... .......... ..........  7% 4.76M 9s
   600K .......... .......... .......... .......... ..........  7% 4.87M 9s
   650K .......... .......... .......... .......... ..........  8% 4.83M 8s
   700K .......... .......... .......... .......... ..........  9% 4.73M 8s
   750K .......... .......... .......... .......... ..........  9% 4.72M 7s
   800K .......... .......... .......... .......... .......... 10% 4.74M 7s
   850K .......... .......... .......... .......... .......... 10% 4.92M 7s
   900K .......... .......... .......... .......... .......... 11% 5.52M 6s
   950K .......... .......... .......... .......... .......... 12% 4.83M 6s
  1000K .......... .......... .......... .......... .......... 12% 1.62M 6s
  1050K .......... .......... .......... .......... .......... 13% 4.82M 6s
  1100K .......... .......... .......... .......... .......... 13% 4.68M 5s
  1150K .......... .......... .......... .......... .......... 14% 4.58M 5s
  1200K .......... .......... .......... .......... .......... 15% 4.72M 5s
  1250K .......... .......... .......... .......... .......... 15% 4.67M 5s
  1300K .......... .......... .......... .......... .......... 16% 5.74M 5s
  1350K .......... .......... .......... .......... .......... 17% 1.33M 5s
  1400K .......... .......... .......... .......... .......... 17% 5.11M 4s
  1450K .......... .......... .......... .......... .......... 18% 5.11M 4s
  1500K .......... .......... .......... .......... .......... 18% 1.54M 4s
  1550K .......... .......... .......... .......... .......... 19% 4.79M 4s
  1600K .......... .......... .......... .......... .......... 20% 5.10M 4s
  1650K .......... .......... .......... .......... .......... 20% 4.94M 4s
  1700K .......... .......... .......... .......... .......... 21% 4.74M 4s
  1750K .......... .......... .......... .......... .......... 21% 5.52M 4s
  1800K .......... .......... .......... .......... .......... 22% 2.36M 4s
  1850K .......... .......... .......... .......... .......... 23% 4.72M 4s
  1900K .......... .......... .......... .......... .......... 23% 4.95M 4s
  1950K .......... .......... .......... .......... .......... 24% 5.24M 3s
  2000K .......... .......... .......... .......... .......... 24% 5.07M 3s
  2050K .......... .......... .......... .......... .......... 25% 4.59M 3s
  2100K .......... .......... .......... .......... .......... 26% 5.22M 3s
  2150K .......... .......... .......... .......... .......... 26% 5.03M 3s
  2200K .......... .......... .......... .......... .......... 27% 5.09M 3s
  2250K .......... .......... .......... .......... .......... 27% 4.13M 3s
  2300K .......... .......... .......... .......... .......... 28% 5.20M 3s
  2350K .......... .......... .......... .......... .......... 29% 5.09M 3s
  2400K .......... .......... .......... .......... .......... 29% 4.90M 3s
  2450K .......... .......... .......... .......... .......... 30% 4.48M 3s
  2500K .......... .......... .......... .......... .......... 31% 5.10M 3s
  2550K .......... .......... .......... .......... .......... 31% 4.70M 3s
  2600K .......... .......... .......... .......... .......... 32% 5.28M 3s
  2650K .......... .......... .......... .......... .......... 32% 4.56M 3s
  2700K .......... .......... .......... .......... .......... 33% 5.41M 2s
  2750K .......... .......... .......... .......... .......... 34% 5.22M 2s
  2800K .......... .......... .......... .......... .......... 34% 5.28M 2s
  2850K .......... .......... .......... .......... .......... 35% 4.60M 2s
  2900K .......... .......... .......... .......... .......... 35% 4.99M 2s
  2950K .......... .......... .......... .......... .......... 36% 5.10M 2s
  3000K .......... .......... .......... .......... .......... 37% 5.35M 2s
  3050K .......... .......... .......... .......... .......... 37% 4.27M 2s
  3100K .......... .......... .......... .......... .......... 38% 5.10M 2s
  3150K .......... .......... .......... .......... .......... 38% 5.84M 2s
  3200K .......... .......... .......... .......... .......... 39% 5.38M 2s
  3250K .......... .......... .......... .......... .......... 40% 4.91M 2s
  3300K .......... .......... .......... .......... .......... 40% 5.15M 2s
  3350K .......... .......... .......... .......... .......... 41% 5.16M 2s
  3400K .......... .......... .......... .......... .......... 41% 5.07M 2s
  3450K .......... .......... .......... .......... .......... 42% 4.77M 2s
  3500K .......... .......... .......... .......... .......... 43% 5.12M 2s
  3550K .......... .......... .......... .......... .......... 43% 4.99M 2s
  3600K .......... .......... .......... .......... .......... 44% 5.35M 2s
  3650K .......... .......... .......... .......... .......... 44% 4.58M 2s
  3700K .......... .......... .......... .......... .......... 45% 5.40M 2s
  3750K .......... .......... .......... .......... .......... 46% 5.26M 2s
  3800K .......... .......... .......... .......... .......... 46% 4.96M 2s
  3850K .......... .......... .......... .......... .......... 47% 4.62M 2s
  3900K .......... .......... .......... .......... .......... 48% 5.10M 2s
  3950K .......... .......... .......... .......... .......... 48% 5.09M 2s
  4000K .......... .......... .......... .......... .......... 49% 5.04M 2s
  4050K .......... .......... .......... .......... .......... 49% 4.08M 2s
  4100K .......... .......... .......... .......... .......... 50% 5.31M 1s
  4150K .......... .......... .......... .......... .......... 51% 5.13M 1s
  4200K .......... .......... .......... .......... .......... 51% 5.42M 1s
  4250K .......... .......... .......... .......... .......... 52% 4.46M 1s
  4300K .......... .......... .......... .......... .......... 52% 5.22M 1s
  4350K .......... .......... .......... .......... .......... 53% 5.19M 1s
  4400K .......... .......... .......... .......... .......... 54% 5.19M 1s
  4450K .......... .......... .......... .......... .......... 54% 4.49M 1s
  4500K .......... .......... .......... .......... .......... 55% 5.34M 1s
  4550K .......... .......... .......... .......... .......... 55% 5.12M 1s
  4600K .......... .......... .......... .......... .......... 56% 4.79M 1s
  4650K .......... .......... .......... .......... .......... 57% 2.58M 1s
  4700K .......... .......... .......... .......... .......... 57% 4.92M 1s
  4750K .......... .......... .......... .......... .......... 58% 4.95M 1s
  4800K .......... .......... .......... .......... .......... 58% 5.12M 1s
  4850K .......... .......... .......... .......... .......... 59% 4.48M 1s
  4900K .......... .......... .......... .......... .......... 60% 5.09M 1s
  4950K .......... .......... .......... .......... .......... 60% 5.30M 1s
  5000K .......... .......... .......... .......... .......... 61% 5.13M 1s
  5050K .......... .......... .......... .......... .......... 62% 4.53M 1s
  5100K .......... .......... .......... .......... .......... 62% 5.10M 1s
  5150K .......... .......... .......... .......... .......... 63% 5.35M 1s
  5200K .......... .......... .......... .......... .......... 63% 5.30M 1s
  5250K .......... .......... .......... .......... .......... 64% 4.69M 1s
  5300K .......... .......... .......... .......... .......... 65% 5.30M 1s
  5350K .......... .......... .......... .......... .......... 65% 5.18M 1s
  5400K .......... .......... .......... .......... .......... 66% 5.38M 1s
  5450K .......... .......... .......... .......... .......... 66% 4.64M 1s
  5500K .......... .......... .......... .......... .......... 67% 5.35M 1s
  5550K .......... .......... .......... .......... .......... 68% 5.16M 1s
  5600K .......... .......... .......... .......... .......... 68% 5.16M 1s
  5650K .......... .......... .......... .......... .......... 69% 4.56M 1s
  5700K .......... .......... .......... .......... .......... 69% 4.79M 1s
  5750K .......... .......... .......... .......... .......... 70% 4.05M 1s
  5800K .......... .......... .......... .......... .......... 71% 3.01M 1s
  5850K .......... .......... .......... .......... .......... 71% 3.07M 1s
  5900K .......... .......... .......... .......... .......... 72% 4.52M 1s
  5950K .......... .......... .......... .......... .......... 72% 4.30M 1s
  6000K .......... .......... .......... .......... .......... 73% 4.61M 1s
  6050K .......... .......... .......... .......... .......... 74% 4.47M 1s
  6100K .......... .......... .......... .......... .......... 74% 4.53M 1s
  6150K .......... .......... .......... .......... .......... 75% 4.22M 1s
  6200K .......... .......... .......... .......... .......... 76% 4.31M 1s
  6250K .......... .......... .......... .......... .......... 76% 4.02M 1s
  6300K .......... .......... .......... .......... .......... 77% 4.88M 1s
  6350K .......... .......... .......... .......... .......... 77% 5.14M 1s
  6400K .......... .......... .......... .......... .......... 78% 4.91M 1s
  6450K .......... .......... .......... .......... .......... 79% 4.54M 1s
  6500K .......... .......... .......... .......... .......... 79% 4.94M 1s
  6550K .......... .......... .......... .......... .......... 80% 5.19M 1s
  6600K .......... .......... .......... .......... .......... 80% 5.12M 0s
  6650K .......... .......... .......... .......... .......... 81% 4.07M 0s
  6700K .......... .......... .......... .......... .......... 82% 5.06M 0s
  6750K .......... .......... .......... .......... .......... 82% 5.06M 0s
  6800K .......... .......... .......... .......... .......... 83% 5.18M 0s
  6850K .......... .......... .......... .......... .......... 83% 4.76M 0s
  6900K .......... .......... .......... .......... .......... 84% 5.22M 0s
  6950K .......... .......... .......... .......... .......... 85% 5.25M 0s
  7000K .......... .......... .......... .......... .......... 85% 5.45M 0s
  7050K .......... .......... .......... .......... .......... 86% 4.45M 0s
  7100K .......... .......... .......... .......... .......... 86% 5.00M 0s
  7150K .......... .......... .......... .......... .......... 87% 4.87M 0s
  7200K .......... .......... .......... .......... .......... 88% 5.23M 0s
  7250K .......... .......... .......... .......... .......... 88% 4.42M 0s
  7300K .......... .......... .......... .......... .......... 89% 4.65M 0s
  7350K .......... .......... .......... .......... .......... 89% 4.94M 0s
  7400K .......... .......... .......... .......... .......... 90% 4.22M 0s
  7450K .......... .......... .......... .......... .......... 91% 4.22M 0s
  7500K .......... .......... .......... .......... .......... 91% 5.07M 0s
  7550K .......... .......... .......... .......... .......... 92% 5.15M 0s
  7600K .......... .......... .......... .......... .......... 93% 4.79M 0s
  7650K .......... .......... .......... .......... .......... 93% 4.30M 0s
  7700K .......... .......... .......... .......... .......... 94% 5.27M 0s
  7750K .......... .......... .......... .......... .......... 94% 5.34M 0s
  7800K .......... .......... .......... .......... .......... 95% 5.20M 0s
  7850K .......... .......... .......... .......... .......... 96% 4.51M 0s
  7900K .......... .......... .......... .......... .......... 96% 5.65M 0s
