Starting job 593151 on c5-30 at Wed Apr 15 02:09:46 CEST 2020

  1) StdEnv
which: no java in (/node/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/cluster/bin:/cluster/home/michaelm/.local/bin:/cluster/home/michaelm/bin)
--2020-04-15 02:09:49--  https://github.com/CompEvol/beast2/releases/download/v2.6.2/BEAST.v2.6.2.Linux.tgz
Resolving github.com (github.com)... 140.82.118.3
Connecting to github.com (github.com)|140.82.118.3|:443... connected.
HTTP request sent, awaiting response... 302 Found
Location: https://github-production-release-asset-2e65be.s3.amazonaws.com/15949777/4b7ecf00-5c8c-11ea-8352-e1e24709250e?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A%2F20200415%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200415T000948Z&X-Amz-Expires=300&X-Amz-Signature=4c724b2e3672728ed95f721e2a80fb94c0eebc5fc2e0f0c7109639b80ae8f4b4&X-Amz-SignedHeaders=host&actor_id=0&repo_id=15949777&response-content-disposition=attachment%3B%20filename%3DBEAST.v2.6.2.Linux.tgz&response-content-type=application%2Foctet-stream [following]
--2020-04-15 02:09:49--  https://github-production-release-asset-2e65be.s3.amazonaws.com/15949777/4b7ecf00-5c8c-11ea-8352-e1e24709250e?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A%2F20200415%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200415T000948Z&X-Amz-Expires=300&X-Amz-Signature=4c724b2e3672728ed95f721e2a80fb94c0eebc5fc2e0f0c7109639b80ae8f4b4&X-Amz-SignedHeaders=host&actor_id=0&repo_id=15949777&response-content-disposition=attachment%3B%20filename%3DBEAST.v2.6.2.Linux.tgz&response-content-type=application%2Foctet-stream
Resolving github-production-release-asset-2e65be.s3.amazonaws.com (github-production-release-asset-2e65be.s3.amazonaws.com)... 52.216.146.107
Connecting to github-production-release-asset-2e65be.s3.amazonaws.com (github-production-release-asset-2e65be.s3.amazonaws.com)|52.216.146.107|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 8420561 (8.0M) [application/octet-stream]
Saving to: ‘BEAST.v2.6.2.Linux.tgz’

     0K .......... .......... .......... .......... ..........  0%  207K 39s
    50K .......... .......... .......... .......... ..........  1% 3.71M 21s
   100K .......... .......... .......... .......... ..........  1%  430K 20s
   150K .......... .......... .......... .......... ..........  2% 4.65M 15s
   200K .......... .......... .......... .......... ..........  3%  476K 16s
   250K .......... .......... .......... .......... ..........  3% 4.77M 13s
   300K .......... .......... .......... .......... ..........  4% 3.80M 11s
   350K .......... .......... .......... .......... ..........  4% 4.96M 10s
   400K .......... .......... .......... .......... ..........  5%  519K 11s
   450K .......... .......... .......... .......... ..........  6% 5.07M 10s
   500K .......... .......... .......... .......... ..........  6% 3.97M 9s
   550K .......... .......... .......... .......... ..........  7% 4.49M 8s
   600K .......... .......... .......... .......... ..........  7% 4.62M 8s
   650K .......... .......... .......... .......... ..........  8% 4.22M 7s
   700K .......... .......... .......... .......... ..........  9% 4.36M 7s
   750K .......... .......... .......... .......... ..........  9%  875K 7s
   800K .......... .......... .......... .......... .......... 10% 4.59M 7s
   850K .......... .......... .......... .......... .......... 10% 5.25M 6s
   900K .......... .......... .......... .......... .......... 11% 4.47M 6s
   950K .......... .......... .......... .......... .......... 12% 4.48M 6s
  1000K .......... .......... .......... .......... .......... 12% 2.09M 5s
  1050K .......... .......... .......... .......... .......... 13% 4.31M 5s
  1100K .......... .......... .......... .......... .......... 13% 4.28M 5s
  1150K .......... .......... .......... .......... .......... 14% 1.84M 5s
  1200K .......... .......... .......... .......... .......... 15% 4.51M 5s
  1250K .......... .......... .......... .......... .......... 15% 4.67M 5s
  1300K .......... .......... .......... .......... .......... 16% 5.33M 4s
  1350K .......... .......... .......... .......... .......... 17% 4.44M 4s
  1400K .......... .......... .......... .......... .......... 17% 4.51M 4s
  1450K .......... .......... .......... .......... .......... 18% 4.35M 4s
  1500K .......... .......... .......... .......... .......... 18%  520K 4s
  1550K .......... .......... .......... .......... .......... 19% 4.15M 4s
  1600K .......... .......... .......... .......... .......... 20% 4.26M 4s
  1650K .......... .......... .......... .......... .......... 20% 4.51M 4s
  1700K .......... .......... .......... .......... .......... 21% 5.25M 4s
  1750K .......... .......... .......... .......... .......... 21% 4.63M 4s
  1800K .......... .......... .......... .......... .......... 22% 4.86M 4s
  1850K .......... .......... .......... .......... .......... 23% 4.71M 4s
  1900K .......... .......... .......... .......... .......... 23% 4.48M 4s
