P1	P2	P3	Dstatistic	p-value	f_G
A_call	AkaNud	A_test	0.0165346	0.135532	0.0114599
A_call	ArtSko	A_test	0.0222298	0.0516306	0.0154303
A_call	BatMar	A_test	0.0237119	0.0689013	0.0164116
A_test	BovDia	A_call	0.0486859	0.00311307	0.0236031
A_test	BovVar	A_call	0.0471678	0.00442978	0.022853
A_call	ChaAce	A_test	0.0226135	0.0659619	0.0156961
A_call	ChaWil	A_test	0.0209275	0.0650779	0.0145062
A_call	ChiDew	A_test	0.0242652	0.0457131	0.0168566
A_test	CotGob	A_call	0.0392659	0.0114942	0.0192348
A_call	CryAnt	A_test	0.024153	0.0381717	0.0167734
A_call	DisMaw	A_test	0.0255205	0.029808	0.0175035
A_call	DolLon	A_test	0.0228903	0.0449184	0.0158392
A_call	EleMac	A_test	0.0319903	0.0220917	0.0219637
G_acul	A_call	A_test	0.0383033	0.0144459	0.0278417
A_call	GobGib	A_test	0.0202055	0.0707197	0.0139645
A_call	GymAcu	A_test	0.0282003	0.025002	0.0194667
A_test	A_call	H_come	0.00124533	0.465932	0.000454545
A_call	HarAnt	A_test	0.0206028	0.0681769	0.0142253
A_call	HarKer	A_test	0.0166844	0.15671	0.0115196
A_call	HisVel	A_test	0.0256582	0.0257672	0.0177104
A_call	LepLar	A_test	0.0266691	0.0420891	0.0184543
A_call	LepNud	A_test	0.0247934	0.0492623	0.0170198
A_call	LepSqu	A_test	0.028831	0.0255539	0.0197581
M_arma	A_test	A_call	0.012394	0.211316	0.00586359
A_call	NotRos	A_test	0.0210098	0.0731738	0.0145318
O_lati	A_test	A_call	0.0786546	5.6372e-07	0.060198
A_test	P_fluv	A_call	0.0740822	8.23981e-05	0.0353657
A_call	PagMac	A_test	0.023287	0.0423934	0.0161496
A_call	PatGun	A_test	0.0244659	0.0575663	0.0168947
A_call	PleAnt	A_test	0.0128709	0.181021	0.00905319
A_call	PseGeo	A_test	0.0240271	0.0451518	0.0166276
A_test	S_nigr	A_call	0.0080829	0.306343	0.00421439
A_call	A_test	T_rubr	0.0193792	0.037492	0.00799547
A_call	TreBer	A_test	0.0270087	0.0364996	0.0185401
A_call	TreHan	A_test	0.0265243	0.0396067	0.0182292
A_call	TreLoe	A_test	0.0276706	0.027243	0.0190289
A_call	TreSco	A_test	0.0290311	0.02879	0.0200145
A_call	VomInf	A_test	0.0287954	0.028557	0.01988
AkaNud	ArtSko	A_call	0.0555556	0.261096	0.00142002
AkaNud	BatMar	A_call	0.130435	0.195976	0.00126582
AkaNud	BovDia	A_call	0.185057	0	0.0546867
AkaNud	BovVar	A_call	0.184749	0	0.0544044
AkaNud	ChaAce	A_call	0.0305085	0.334427	0.000931581
AkaNud	ChaWil	A_call	0.0459364	0.248566	0.0013047
AkaNud	ChiDew	A_call	0.0334572	0.32807	0.000921848
AkaNud	CotGob	A_call	0.168403	0	0.0511172
AkaNud	CryAnt	A_call	0.00746269	0.457275	0.000201349
AkaNud	DisMaw	A_call	0.0831099	0.0423974	0.00309104
AkaNud	DolLon	A_call	0.08	0.181445	0.00202429
AkaNud	EleMac	A_call	0.0356688	0.116691	0.00570613
G_acul	AkaNud	A_call	0.0517529	0.00291284	0.024711
AkaNud	GobGib	A_call	0.0490196	0.128843	0.00204834
AkaNud	GymAcu	A_call	0.0252101	0.349262	0.000610314
A_call	AkaNud	H_come	0.044714	0.000364758	0.0169748
AkaNud	HarAnt	A_call	0.0541516	0.217007	0.00152006
AkaNud	HarKer	A_call	0.0408922	0.281444	0.00114991
