name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,249438,-1085475.34,5218,514,2181386.67,2181609.69,2235794.58
step_1,249438,-1085475.66,5208,513,2181367.32,2181589.47,2235670.95
step_2,249438,-1085476.09,5198,512,2181348.17,2181569.47,2235547.54
step_3,249438,-1085476.56,5188,511,2181329.12,2181549.55,2235424.21
step_4,249438,-1085477.08,5178,510,2181310.16,2181529.74,2235300.99
step_5,249438,-1085477.69,5168,509,2181291.38,2181510.10,2235177.94
step_6,249438,-1085478.33,5158,508,2181272.67,2181490.53,2235054.96
step_7,249438,-1085478.98,5148,507,2181253.96,2181470.98,2234931.98
step_8,249438,-1085479.71,5138,506,2181235.42,2181451.59,2234809.17
step_9,249438,-1085480.49,5128,505,2181216.98,2181432.30,2234686.46
step_10,249438,-1085481.33,5118,504,2181198.65,2181413.12,2234563.86
step_11,249438,-1085482.21,5108,503,2181180.42,2181394.04,2234441.36
step_12,249438,-1085483.16,5098,502,2181162.32,2181375.10,2234318.99
step_13,249438,-1085484.20,5088,501,2181144.41,2181356.34,2234196.81
step_14,249438,-1085485.34,5078,500,2181126.68,2181337.77,2234074.81
step_15,249438,-1085486.50,5068,499,2181108.99,2181319.24,2233952.85
step_16,249438,-1085487.67,5058,498,2181091.34,2181300.75,2233830.93
step_17,249438,-1085488.86,5048,497,2181073.72,2181282.30,2233709.05
step_18,249438,-1085490.11,5038,496,2181056.22,2181263.96,2233587.27
step_19,249438,-1085491.36,5028,495,2181038.72,2181245.63,2233465.50
step_20,249438,-1085492.72,5018,494,2181021.43,2181227.52,2233343.95
step_21,249438,-1085494.14,5008,493,2181004.27,2181209.53,2233222.51
step_22,249438,-1085495.59,4998,492,2180987.18,2181191.60,2233101.15
step_23,249438,-1085497.05,4988,491,2180970.10,2181173.70,2232979.81
step_24,249438,-1085498.54,4978,490,2180953.07,2181155.85,2232858.51
step_25,249438,-1085500.05,4968,489,2180936.10,2181138.05,2232737.26
step_26,249438,-1085501.56,4958,488,2180919.13,2181120.26,2232616.02
step_27,249438,-1085503.18,4948,487,2180902.36,2181102.68,2232494.99
step_28,249438,-1085504.93,4938,486,2180885.86,2181085.36,2232374.21
step_29,249438,-1085506.70,4928,485,2180869.41,2181068.09,2232253.49
step_30,249438,-1085508.55,4918,484,2180853.09,2181050.96,2232132.91
step_31,249438,-1085510.40,4908,483,2180836.79,2181033.85,2232012.34
step_32,249438,-1085512.25,4898,482,2180820.50,2181016.75,2231891.78
step_33,249438,-1085514.18,4888,481,2180804.36,2180999.80,2231771.36
step_34,249438,-1085516.11,4878,480,2180788.22,2180982.85,2231650.96
step_35,249438,-1085518.04,4868,479,2180772.09,2180965.92,2231530.56
step_36,249438,-1085519.98,4858,478,2180755.97,2180948.99,2231410.17
step_37,249438,-1085522.04,4848,477,2180740.08,2180932.30,2231290.01
step_38,249438,-1085524.12,4838,476,2180724.25,2180915.67,2231169.91
step_39,249438,-1085526.22,4828,475,2180708.45,2180899.08,2231049.84
step_40,249438,-1085528.33,4818,474,2180692.66,2180882.49,2230929.78
step_41,249438,-1085530.44,4808,473,2180676.87,2180865.91,2230809.73
step_42,249438,-1085532.09,4798,472,2180660.18,2180848.42,2230688.76
step_43,249438,-1085534.23,4788,471,2180644.47,2180831.92,2230568.78
step_44,249438,-1085536.40,4778,470,2180628.79,2180815.45,2230448.84
step_45,249438,-1085538.58,4768,469,2180613.15,2180799.03,2230328.93
step_46,249438,-1085540.77,4758,468,2180597.55,2180782.64,2230209.05
step_47,249438,-1085542.99,4748,467,2180581.98,2180766.28,2230089.21
step_48,249438,-1085545.22,4738,466,2180566.44,2180749.96,2229969.40
step_49,249438,-1085547.46,4728,465,2180550.92,2180733.65,2229849.61
step_50,249438,-1085549.71,4718,464,2180535.41,2180717.37,2229729.83
step_51,249438,-1085552.04,4708,463,2180520.08,2180701.26,2229610.23
step_52,249438,-1085554.40,4698,462,2180504.80,2180685.21,2229490.69
step_53,249438,-1085556.77,4688,461,2180489.55,2180669.18,2229371.16
step_54,249438,-1085559.20,4678,460,2180474.40,2180653.26,2229251.75
step_55,249438,-1085561.64,4668,459,2180459.28,2180637.36,2229132.35
step_56,249438,-1085564.09,4658,458,2180444.18,2180621.50,2229012.99
step_57,249438,-1085566.56,4648,457,2180429.12,2180605.66,2228893.65
step_58,249438,-1085569.03,4638,456,2180414.07,2180589.85,2228774.33
step_59,249438,-1085571.54,4628,455,2180399.07,2180574.09,2228655.07
step_60,249438,-1085574.05,4618,454,2180384.10,2180558.35,2228535.82
step_61,249438,-1085576.57,4608,453,2180369.13,2180542.63,2228416.59
step_62,249438,-1085579.09,4598,452,2180354.19,2180526.92,2228297.38
step_63,249438,-1085581.46,4588,451,2180338.92,2180510.90,2228177.84
step_64,249438,-1085583.99,4578,450,2180323.98,2180495.21,2228058.63
step_65,249438,-1085586.54,4568,449,2180309.08,2180479.55,2227939.46
step_66,249438,-1085589.10,4558,448,2180294.19,2180463.91,2227820.30
step_67,249438,-1085591.65,4548,447,2180279.30,2180448.26,2227701.14
step_68,249438,-1085594.23,4538,446,2180264.46,2180432.68,2227582.03
step_69,249438,-1085596.82,4528,445,2180249.64,2180417.11,2227462.94
step_70,249438,-1085599.41,4518,444,2180234.83,2180401.55,2227343.86
step_71,249438,-1085602.02,4508,443,2180220.04,2180386.02,2227224.81
step_72,249438,-1085603.88,4498,442,2180203.76,2180369.00,2227104.25
step_73,249438,-1085606.49,4488,441,2180188.99,2180353.49,2226985.21
step_74,249438,-1085609.11,4478,440,2180174.22,2180337.98,2226866.18
step_75,249438,-1085611.75,4468,439,2180159.51,2180322.53,2226747.19
step_76,249438,-1085614.42,4458,438,2180144.85,2180307.13,2226628.26
step_77,249438,-1085617.10,4448,437,2180130.19,2180291.74,2226509.33
step_78,249438,-1085619.81,4438,436,2180115.63,2180276.45,2226390.50
step_79,249438,-1085622.54,4428,435,2180101.07,2180261.16,2226271.68
step_80,249438,-1085625.29,4418,434,2180086.57,2180245.93,2226152.91
step_81,249438,-1085628.04,4408,433,2180072.07,2180230.71,2226034.14
