INFO     | 2020-05-12 13:03:22,658 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2020-05-12 13:03:22,734 | config     | Setting 'alignment' to 'permissive.phy'
INFO     | 2020-05-12 13:03:22,735 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2020-05-12 13:03:22,735 | parser     | You set 'models' to: GTR+G
INFO     | 2020-05-12 13:03:22,821 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2020-05-12 13:03:22,822 | model_load | GTR+G
INFO     | 2020-05-12 13:03:22,822 | config     | Setting 'model_selection' to 'aic'
INFO     | 2020-05-12 13:03:22,991 | config     | Setting 'search' to 'rcluster'
INFO     | 2020-05-12 13:03:22,992 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2020-05-12 13:03:22,992 | config     | Looking for alignment file './permissive.phy'...
INFO     | 2020-05-12 13:03:22,993 | analysis   | Beginning Analysis
INFO     | 2020-05-12 13:03:23,516 | alignment  | Reading alignment file './permissive.phy'
INFO     | 2020-05-12 13:03:23,991 | analysis   | Starting tree will be estimated from the data.
INFO     | 2020-05-12 13:03:24,025 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2020-05-12 13:03:24,036 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2020-05-12 13:07:11,890 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2020-05-12 13:10:24,589 | raxml      | ML topology estimation finished
INFO     | 2020-05-12 13:10:24,592 | analysis_m | Performing relaxed clustering analysis
INFO     | 2020-05-12 13:10:24,593 | analysis_m |    Set rcluster-max to 4000
INFO     | 2020-05-12 13:10:24,594 | analysis_m |    PartitionFinder will have to analyse 158863 subsets to complete this analyses
WARNING  | 2020-05-12 13:10:24,595 | progress   |    158863 is a lot of subsets, this might take a long time to analyse. Perhaps consider using a different search scheme instead (see the Manual)
INFO     | 2020-05-12 13:10:24,595 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2020-05-12 13:10:29,294 | progress   |       Finished subset 1/400, 0.25 percent done
INFO     | 2020-05-12 13:10:29,363 | progress   |       Finished subset 2/400, 0.50 percent done
INFO     | 2020-05-12 13:10:29,503 | progress   |       Finished subset 3/400, 0.75 percent done
INFO     | 2020-05-12 13:10:29,566 | progress   |       Finished subset 4/400, 1.00 percent done
INFO     | 2020-05-12 13:10:29,745 | progress   |       Finished subset 5/400, 1.25 percent done
INFO     | 2020-05-12 13:10:29,805 | progress   |       Finished subset 6/400, 1.50 percent done
INFO     | 2020-05-12 13:10:30,029 | progress   |       Finished subset 7/400, 1.75 percent done
INFO     | 2020-05-12 13:10:30,133 | progress   |       Finished subset 8/400, 2.00 percent done
INFO     | 2020-05-12 13:10:30,388 | progress   |       Finished subset 9/400, 2.25 percent done
INFO     | 2020-05-12 13:10:30,564 | progress   |       Finished subset 10/400, 2.50 percent done
INFO     | 2020-05-12 13:10:30,670 | progress   |       Finished subset 11/400, 2.75 percent done
INFO     | 2020-05-12 13:10:30,780 | progress   |       Finished subset 12/400, 3.00 percent done
INFO     | 2020-05-12 13:10:30,949 | progress   |       Finished subset 13/400, 3.25 percent done
INFO     | 2020-05-12 13:10:31,197 | progress   |       Finished subset 14/400, 3.50 percent done
INFO     | 2020-05-12 13:10:31,264 | progress   |       Finished subset 15/400, 3.75 percent done
INFO     | 2020-05-12 13:10:31,364 | progress   |       Finished subset 16/400, 4.00 percent done
INFO     | 2020-05-12 13:10:31,445 | progress   |       Finished subset 17/400, 4.25 percent done
INFO     | 2020-05-12 13:10:31,564 | progress   |       Finished subset 18/400, 4.50 percent done
INFO     | 2020-05-12 13:10:31,737 | progress   |       Finished subset 19/400, 4.75 percent done
INFO     | 2020-05-12 13:10:31,824 | progress   |       Finished subset 20/400, 5.00 percent done
INFO     | 2020-05-12 13:10:31,994 | progress   |       Finished subset 21/400, 5.25 percent done
INFO     | 2020-05-12 13:10:32,065 | progress   |       Finished subset 22/400, 5.50 percent done
INFO     | 2020-05-12 13:10:32,336 | progress   |       Finished subset 23/400, 5.75 percent done
INFO     | 2020-05-12 13:10:32,397 | progress   |       Finished subset 24/400, 6.00 percent done
INFO     | 2020-05-12 13:10:32,510 | progress   |       Finished subset 25/400, 6.25 percent done
INFO     | 2020-05-12 13:10:32,609 | progress   |       Finished subset 26/400, 6.50 percent done
INFO     | 2020-05-12 13:10:32,732 | progress   |       Finished subset 27/400, 6.75 percent done
INFO     | 2020-05-12 13:10:32,900 | progress   |       Finished subset 28/400, 7.00 percent done
INFO     | 2020-05-12 13:10:32,971 | progress   |       Finished subset 29/400, 7.25 percent done
INFO     | 2020-05-12 13:10:33,072 | progress   |       Finished subset 30/400, 7.50 percent done
INFO     | 2020-05-12 13:10:33,282 | progress   |       Finished subset 31/400, 7.75 percent done
INFO     | 2020-05-12 13:10:33,407 | progress   |       Finished subset 32/400, 8.00 percent done
INFO     | 2020-05-12 13:10:33,488 | progress   |       Finished subset 33/400, 8.25 percent done
INFO     | 2020-05-12 13:10:33,572 | progress   |       Finished subset 34/400, 8.50 percent done
INFO     | 2020-05-12 13:10:33,661 | progress   |       Finished subset 35/400, 8.75 percent done
