name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,135334,-583718.74,2878,280,1173193.48,1173318.59,1201442.49
step_1,135334,-583719.06,2868,279,1173174.12,1173298.35,1201324.98
step_2,135334,-583719.59,2858,278,1173155.18,1173278.54,1201207.88
step_3,135334,-583720.44,2848,277,1173136.88,1173259.37,1201091.43
step_4,135334,-583721.36,2838,276,1173118.71,1173240.33,1200975.11
step_5,135334,-583722.51,2828,275,1173101.01,1173221.77,1200859.25
step_6,135334,-583723.69,2818,274,1173083.38,1173203.28,1200743.47
step_7,135334,-583725.01,2808,273,1173066.03,1173185.06,1200627.95
step_8,135334,-583726.47,2798,272,1173048.95,1173167.13,1200512.72
step_9,135334,-583728.03,2788,271,1173032.06,1173149.39,1200397.67
step_10,135334,-583729.62,2778,270,1173015.24,1173131.72,1200282.71
step_11,135334,-583731.43,2768,269,1172998.87,1173114.50,1200168.17
step_12,135334,-583733.40,2758,268,1172982.81,1173097.60,1200053.96
step_13,135334,-583735.38,2748,267,1172966.77,1173080.72,1199939.76
step_14,135334,-583737.36,2738,266,1172950.73,1173063.85,1199825.57
step_15,135334,-583739.47,2728,265,1172934.95,1173047.23,1199711.64
step_16,135334,-583741.62,2718,264,1172919.23,1173030.69,1199597.77
step_17,135334,-583743.84,2708,263,1172903.69,1173014.32,1199484.07
step_18,135334,-583746.08,2698,262,1172888.17,1172997.97,1199370.39
step_19,135334,-583748.47,2688,261,1172872.93,1172981.91,1199257.00
step_20,135334,-583750.85,2678,260,1172857.70,1172965.86,1199143.61
step_21,135334,-583753.24,2668,259,1172842.49,1172949.84,1199030.24
step_22,135334,-583755.71,2658,258,1172827.43,1172933.97,1198917.03
step_23,135334,-583758.27,2648,257,1172812.53,1172918.27,1198803.98
step_24,135334,-583760.87,2638,256,1172797.74,1172902.67,1198691.03
step_25,135334,-583763.52,2628,255,1172783.03,1172887.16,1198578.17
step_26,135334,-583766.18,2618,254,1172768.35,1172871.68,1198465.33
step_27,135334,-583768.85,2608,253,1172753.70,1172856.23,1198352.53
step_28,135334,-583771.54,2598,252,1172739.08,1172840.82,1198239.75
step_29,135334,-583774.26,2588,251,1172724.51,1172825.46,1198127.03
step_30,135334,-583777.07,2578,250,1172710.15,1172810.31,1198014.51
step_31,135334,-583779.89,2568,249,1172695.79,1172795.17,1197901.99
step_32,135334,-583782.75,2558,248,1172681.49,1172780.09,1197789.54
step_33,135334,-583785.62,2548,247,1172667.24,1172765.06,1197677.13
step_34,135334,-583788.50,2538,246,1172653.00,1172750.05,1197564.74
step_35,135334,-583791.43,2528,245,1172638.87,1172735.15,1197452.45
step_36,135334,-583794.41,2518,244,1172624.82,1172720.33,1197340.25
step_37,135334,-583797.40,2508,243,1172610.80,1172705.55,1197228.08
step_38,135334,-583800.44,2498,242,1172596.88,1172690.87,1197116.00
step_39,135334,-583803.54,2488,241,1172583.08,1172676.31,1197004.04
step_40,135334,-583806.70,2478,240,1172569.40,1172661.88,1196892.22
step_41,135334,-583809.93,2468,239,1172555.86,1172647.58,1196780.51
step_42,135334,-583813.18,2458,238,1172542.36,1172633.34,1196668.86
step_43,135334,-583816.46,2448,237,1172528.91,1172619.14,1196557.26
step_44,135334,-583819.78,2438,236,1172515.56,1172605.05,1196445.75
step_45,135334,-583823.13,2428,235,1172502.26,1172591.01,1196334.29
step_46,135334,-583826.48,2418,234,1172488.97,1172576.98,1196222.85
step_47,135334,-583829.90,2408,233,1172475.81,1172563.09,1196111.53
step_48,135334,-583833.34,2398,232,1172462.67,1172549.22,1196000.24
step_49,135334,-583836.77,2388,231,1172449.55,1172535.37,1195888.96
step_50,135334,-583840.23,2378,230,1172436.46,1172521.56,1195777.72
step_51,135334,-583843.69,2368,229,1172423.39,1172507.77,1195666.50
step_52,135334,-583847.17,2358,228,1172410.33,1172494.00,1195555.28
step_53,135334,-583850.67,2348,227,1172397.34,1172480.29,1195444.14
step_54,135334,-583854.18,2338,226,1172384.35,1172466.59,1195333.00
step_55,135334,-583857.70,2328,225,1172371.40,1172452.93,1195221.89
step_56,135334,-583861.25,2318,224,1172358.49,1172439.31,1195110.82
step_57,135334,-583864.87,2308,223,1172345.74,1172425.86,1194999.91
step_58,135334,-583868.59,2298,222,1172333.18,1172412.60,1194889.20
step_59,135334,-583872.34,2288,221,1172320.68,1172399.41,1194778.54
step_60,135334,-583876.11,2278,220,1172308.22,1172386.26,1194667.93
step_61,135334,-583879.94,2268,219,1172295.88,1172373.23,1194557.44
step_62,135334,-583883.79,2258,218,1172283.58,1172360.24,1194446.98
step_63,135334,-583887.75,2248,217,1172271.49,1172347.47,1194336.74
step_64,135334,-583891.72,2238,216,1172259.43,1172334.73,1194226.52
step_65,135334,-583895.75,2228,215,1172247.49,1172322.11,1194116.43
step_66,135334,-583899.81,2218,214,1172235.62,1172309.57,1194006.41
step_67,135334,-583903.93,2208,213,1172223.86,1172297.14,1193896.49
step_68,135334,-583908.07,2198,212,1172212.15,1172284.76,1193786.62
step_69,135334,-583912.23,2188,211,1172200.46,1172272.41,1193676.78
step_70,135334,-583916.39,2178,210,1172188.79,1172260.07,1193566.95
step_71,135334,-583920.60,2168,209,1172177.21,1172247.83,1193457.22
step_72,135334,-583924.84,2158,208,1172165.68,1172235.65,1193347.53
step_73,135334,-583929.15,2148,207,1172154.31,1172223.62,1193238.00
step_74,135334,-583933.52,2138,206,1172143.04,1172211.71,1193128.58
step_75,135334,-583938.00,2128,205,1172132.00,1172200.03,1193019.39
step_76,135334,-583942.56,2118,204,1172121.12,1172188.50,1192910.35
step_77,135334,-583947.12,2108,203,1172110.24,1172176.98,1192801.31
step_78,135334,-583951.69,2098,202,1172099.39,1172165.49,1192692.31
step_79,135334,-583956.28,2088,201,1172088.56,1172154.03,1192583.33
step_80,135334,-583960.89,2078,200,1172077.78,1172142.63,1192474.40
step_81,135334,-583965.58,2068,199,1172067.15,1172131.36,1192365.61
step_82,135334,-583970.30,2058,198,1172056.60,1172120.19,1192256.90
