Scheme Name       : step_30
Scheme lnL        : -911645.4393920898
Scheme AIC        : 1830846.87878
Number of params  : 3778
Number of sites   : 206048
Number of subsets : 370

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1440       | a5005318abfad535269a0b2c0354b28c | EOG090C0087_1                                                                                       
2      | GTR+G      | 1440       | 5506b9d386973dd93eb2f4bff54027f8 | EOG090C0087_2                                                                                       
3      | GTR+G      | 1947       | 9ffa34d324fc2b25c3961a055a6325b5 | EOG090C00AN_1                                                                                       
4      | GTR+G      | 1947       | 3b3de80234a94cb2b7d18e4a3c26fc15 | EOG090C00AN_2                                                                                       
5      | GTR+G      | 1473       | 676130f905d3d2a8e8b7b1012a7fbb38 | EOG090C00BE_1                                                                                       
6      | GTR+G      | 1473       | beff2ec1fd6bb66d81094a96588ff60e | EOG090C00BE_2                                                                                       
7      | GTR+G      | 1869       | 76db96fe02a892a59180c6d0c81c2d3d | EOG090C00BT_1                                                                                       
8      | GTR+G      | 1869       | 9a63b89380892d8f143af3edf138c1cf | EOG090C00BT_2                                                                                       
9      | GTR+G      | 1519       | dca8ff4057eb4bb1f0ec0d4c6cb52551 | EOG090C00HJ_1                                                                                       
10     | GTR+G      | 1519       | 135ef6f9c7f2f61382d87d2f2a44058a | EOG090C00HJ_2                                                                                       
11     | GTR+G      | 2218       | 7d23f57c973cebd6d4e1eab564b7218e | EOG090C095H_1, EOG090C00HT_1, EOG090C0814_1                                                         
12     | GTR+G      | 1643       | 87d9e311b3937ccb78b07ba7a49ebc35 | EOG090C00HT_2                                                                                       
13     | GTR+G      | 755        | 376908a6f2abfcc0c51123977f07e615 | EOG090C00SW_1                                                                                       
14     | GTR+G      | 755        | cc789b0a4990cf11f968b55afd6bc4b1 | EOG090C00SW_2                                                                                       
15     | GTR+G      | 1365       | 4c3c234ec9e02237f87345d44b4138f3 | EOG090C00VF_1                                                                                       
16     | GTR+G      | 1365       | 2baf649cf425d320f4335f881e736235 | EOG090C00VF_2                                                                                       
17     | GTR+G      | 783        | b60058775956af4bcee61d8e53520682 | EOG090C010X_1                                                                                       
18     | GTR+G      | 783        | 2d72c067aaf6b675f22112bcb9ca5277 | EOG090C010X_2                                                                                       
19     | GTR+G      | 1086       | 9d176c9cbcbb8b431b67da3eae4db2d8 | EOG090C014P_1                                                                                       
20     | GTR+G      | 1086       | 5e0de1d154839e45351f0c02ed371b05 | EOG090C014P_2                                                                                       
21     | GTR+G      | 1295       | 4736ea1d7c2fb80ca9e3a78a1814c2f4 | EOG090C016M_1                                                                                       
22     | GTR+G      | 1645       | bb93e8bedec5aac5ce6ac832bb4d380d | EOG090C0814_2, EOG090C016M_2                                                                        
23     | GTR+G      | 754        | 466e808b72213749268eb37fbecdc9e6 | EOG090C01AQ_1                                                                                       
24     | GTR+G      | 754        | 9451548c0c2e3448096cf8f13a395650 | EOG090C01AQ_2                                                                                       
25     | GTR+G      | 1044       | 4a4d94c771be616b3c8c6d5d93a04000 | EOG090C01BG_1                                                                                       
