Scheme Name       : step_65
Scheme lnL        : -583895.7464904785
Scheme AIC        : 1172247.49298
Number of params  : 2228
Number of sites   : 135334
Number of subsets : 215

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1833       | f6cbdcde0fe3641733047670aa57bc98 | EOG090C084P_1, EOG090C00BE_1                                                                        
2      | GTR+G      | 1473       | 54ad1299c7315cf832538b5e164ddac0 | EOG090C00BE_2                                                                                       
3      | GTR+G      | 1519       | 122e70051937dd3a619b20baf2d203f4 | EOG090C00HJ_1                                                                                       
4      | GTR+G      | 1519       | 6cf0dbc88f0189ed02d97f08104a27aa | EOG090C00HJ_2                                                                                       
5      | GTR+G      | 1008       | e00ac7e9f9642b2bf2269018963be2b5 | EOG090C010X_1, EOG090C095H_1                                                                        
6      | GTR+G      | 783        | cac15abb07e01d1329fd73ad79537065 | EOG090C010X_2                                                                                       
7      | GTR+G      | 1086       | 30476b784c3294ad5e635ae543a5c4a2 | EOG090C014P_1                                                                                       
8      | GTR+G      | 1086       | a90d13cffc36b6b7fedfb5411074de49 | EOG090C014P_2                                                                                       
9      | GTR+G      | 1724       | 2f5812365da167f1efe16088a518e1c8 | EOG090C07FM_2, EOG090C016M_1                                                                        
10     | GTR+G      | 1473       | 9666390e204d5b2fe08910de3b72dd0c | EOG090C016M_2, EOG090C0ERA_2                                                                        
11     | GTR+G      | 754        | 073cefdd408f219320ade99aea4ee28e | EOG090C01AQ_1                                                                                       
12     | GTR+G      | 1033       | ec417ef316ded8cc0f913c5b7212c541 | EOG090C01AQ_2, EOG090C0ACE_2                                                                        
13     | GTR+G      | 1044       | d2a8651d3f294a0556a4e4134e5fb122 | EOG090C01BG_1                                                                                       
14     | GTR+G      | 1360       | 1f53694524f5cd83e66939d41164d1b8 | EOG090C01BG_2, EOG090C04TR_2                                                                        
15     | GTR+G      | 731        | 167bd5e492451b926adabd36c8fef8d8 | EOG090C01CW_1                                                                                       
16     | GTR+G      | 731        | f97cc98155fa65d57205632ade85ac59 | EOG090C01CW_2                                                                                       
17     | GTR+G      | 1004       | 62a3c5085744d2bf4e7723e7b86421f3 | EOG090C01LV_1                                                                                       
18     | GTR+G      | 1004       | a7ec8fb46e4616ef5eecb6271a0d7401 | EOG090C01LV_2                                                                                       
19     | GTR+G      | 680        | 0b305d43656948d6ef4448d1dc17f0e8 | EOG090C01NW_1                                                                                       
20     | GTR+G      | 680        | e45cd1c539f97d961c8ccc96cd4dd873 | EOG090C01NW_2                                                                                       
21     | GTR+G      | 971        | ad86257e272081e0fce2a6b4933f5b8a | EOG090C01QP_1                                                                                       
22     | GTR+G      | 971        | ad9cd315a5bef886c24d1b02e2d58216 | EOG090C01QP_2                                                                                       
23     | GTR+G      | 565        | 1e0f16c50200d0c031c2f78487552e15 | EOG090C01S4_1                                                                                       
24     | GTR+G      | 565        | c7881e41b7ca061576ae9ad348a3f7b0 | EOG090C01S4_2                                                                                       
25     | GTR+G      | 2348       | da3c87c33edd8e82fe8a4dcf920e8468 | EOG090C05L0_1, EOG090C053D_1, EOG090C01T7_1                                                         
