gene_id	best	delta_lik	lik_t1	lik_t2	lik_t3
EOG090C0087	t3	9.1143	-31397.2695	-31393.1284	-31384.0141
EOG090C00AN	t1	1.6125	-40535.2598	-40536.8723	-40542.6728
EOG090C00B1	t2	.0110	-27565.7958	-27565.7848	-27565.7981
EOG090C00BE	t3	2.1874	-33764.4402	-33766.5606	-33762.2528
EOG090C00BT	t3	2.2594	-37744.6748	-37744.7313	-37742.4154
EOG090C00E9	t3	6.1430	-26189.1417	-26192.4770	-26182.9987
EOG090C00HJ	t2	8.4456	-25535.4355	-25520.8352	-25529.2808
EOG090C00HT	t3	.0006	-31767.6056	-31767.6029	-31767.6023
EOG090C00SW	t2	1.9860	-14215.8991	-14213.9131	-14219.1554
EOG090C00VF	t3	8.0662	-30194.8382	-30196.2626	-30186.7720
EOG090C010X	t3	12.2153	-15850.8092	-15848.5882	-15836.3729
EOG090C0114	t1	.7944	-23626.2790	-23627.6108	-23627.0734
EOG090C014P	t1	2.6768	-21945.5006	-21949.9392	-21948.1774
EOG090C016M	t2	3.9401	-24603.4560	-24599.5159	-24608.0079
EOG090C016S	t1	1.2712	-14190.4471	-14206.0727	-14191.7183
EOG090C01AQ	t2	5.6186	-16698.6916	-16693.0730	-16699.3304
EOG090C01BG	t1	.0248	-22547.5836	-22547.6114	-22547.6084
EOG090C01CW	t1	.0008	-18030.6118	-18030.6126	-18030.6130
EOG090C01EW	t1	.5223	-13873.7037	-13880.9200	-13874.2260
EOG090C01LV	t2	.0767	-15838.5597	-15838.4775	-15838.5542
EOG090C01M7	t2	1.0781	-21701.1297	-21699.6089	-21700.6870
EOG090C01NW	t3	8.3894	-14400.8835	-14400.8807	-14392.4913
EOG090C01O3	t1	.4653	-18143.0588	-18143.5241	-18147.7643
EOG090C01O8	t3	10.8619	-14279.7322	-14292.0023	-14268.8703
EOG090C01QP	t2	.0024	-19201.3746	-19201.3722	-19201.3788
EOG090C01S4	t3	1.1471	-10005.5750	-10005.5728	-10004.4257
EOG090C01T7	t1	.7115	-23010.1330	-23010.8445	-23012.3896
EOG090C01VW	t1	7.1284	-21434.7559	-21441.8843	-21444.1888
EOG090C01W9	t1	2.8624	-9082.3583	-9085.2207	-9085.2228
EOG090C022Z	t1	13.0083	-14768.2504	-14784.4617	-14781.2587
EOG090C027B	t1	.8971	-16201.6391	-16204.4615	-16202.5362
EOG090C027E	t1	.0470	-25256.1440	-25257.5274	-25256.1910
EOG090C02AS	t1	.6238	-18429.7913	-18430.4151	-18431.2470
EOG090C02BD	t2	2.0325	-13266.3398	-13261.1672	-13263.1997
EOG090C02D8	t3	1.9200	-19341.3179	-19341.6543	-19339.3979
EOG090C02EK	t2	7.4702	-19787.0807	-19779.6105	-19791.6251
EOG090C02FU	t1	1.7998	-16236.5967	-16242.0314	-16238.3965
EOG090C02GG	t3	1.8056	-12108.1670	-12111.5974	-12106.3614
EOG090C02JH	t1	1.6515	-17544.2770	-17556.5076	-17545.9285
EOG090C02KW	t2	.8433	-23894.8749	-23894.0316	-23897.4586
EOG090C02QR	t2	3.4293	-16751.2259	-16747.7966	-16755.9697
EOG090C02S2	t2	2.6642	-17130.5557	-17127.8915	-17132.1803
EOG090C02TX	t3	7.6551	-16075.9666	-16075.9710	-16068.3115
EOG090C02W1	t3	2.6593	-14592.7662	-14598.9925	-14590.1069
EOG090C02XJ	t3	1.3464	-10467.3487	-10463.9470	-10462.6006
EOG090C031H	t2	4.5881	-16202.6909	-16196.5862	-16201.1743
EOG090C031J	t1	4.6705	-13927.0007	-13934.3983	-13931.6712
EOG090C0349	t2	.7751	-14861.5181	-14860.7430	-14866.3930
EOG090C034S	t3	4.3524	-15711.9314	-15713.0663	-15707.5790
EOG090C035W	t1	2.8657	-17761.7246	-17764.5903	-17765.5998
EOG090C037V	t1	9.0728	-14550.2971	-14560.0809	-14559.3699
EOG090C039G	t3	1.7904	-16363.6428	-16363.6401	-16361.8497
EOG090C03F4	t3	2.0752	-11102.6957	-11103.5564	-11100.6205
EOG090C03FG	t3	5.2869	-15994.0696	-15994.0714	-15988.7827
EOG090C03FJ	t3	2.8031	-12187.3529	-12188.6913	-12184.5498
EOG090C03H4	t3	.0014	-18337.4880	-18337.4917	-18337.4866
EOG090C03MY	t3	9.0312	-11741.8736	-11741.8737	-11732.8424
EOG090C03OC	t2	.0941	-9195.8297	-9195.7356	-9197.9732
EOG090C03Q4	t3	2.1354	-29286.0167	-29286.7200	-29283.8813
EOG090C03SO	t1	.0003	-8147.7361	-8147.7407	-8147.7364
EOG090C03TA	t1	.3616	-12500.3449	-12500.7065	-12504.6410
EOG090C042A	t3	3.6487	-15150.1815	-15151.3625	-15146.5328
EOG090C048B	t1	4.0419	-11105.0708	-11109.1127	-11109.1257
