Scheme Name       : step_82
Scheme lnL        : -1085630.7941894531
Scheme AIC        : 2180057.58838
Number of params  : 4398
Number of sites   : 249438
Number of subsets : 432

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1440       | a5005318abfad535269a0b2c0354b28c | EOG090C0087_1                                                                                       
2      | GTR+G      | 1440       | 5506b9d386973dd93eb2f4bff54027f8 | EOG090C0087_2                                                                                       
3      | GTR+G      | 1947       | 9ffa34d324fc2b25c3961a055a6325b5 | EOG090C00AN_1                                                                                       
4      | GTR+G      | 1947       | 3b3de80234a94cb2b7d18e4a3c26fc15 | EOG090C00AN_2                                                                                       
5      | GTR+G      | 1464       | 4d494a4581eb9a8e67bdf9c0d9bc4305 | EOG090C00B1_1                                                                                       
6      | GTR+G      | 1464       | d24fb0de3acad819298ffad2ba0fd97f | EOG090C00B1_2                                                                                       
7      | GTR+G      | 1473       | 24f7292ffe5b4ec9ff015f9ea0669d99 | EOG090C00BE_1                                                                                       
8      | GTR+G      | 1473       | 16601c497e955691a85e43b655bdf9af | EOG090C00BE_2                                                                                       
9      | GTR+G      | 2549       | ae88db16eba3d1c584369afc3a8689dc | EOG090C01NW_1, EOG090C00BT_1                                                                        
10     | GTR+G      | 1869       | eebf21817ee946b6f436163e1a10fcc5 | EOG090C00BT_2                                                                                       
11     | GTR+G      | 1589       | c57a5ffb933a23d5f786b563fca7033f | EOG090C00E9_1, EOG090C0F0B_1                                                                        
12     | GTR+G      | 1480       | d127e3f63754c30463dffb8c49fd3f86 | EOG090C00E9_2                                                                                       
13     | GTR+G      | 1519       | 58fd6478ed76362bf2f2c25134ffcd5e | EOG090C00HJ_1                                                                                       
14     | GTR+G      | 1519       | d611812ca4bc9def8cfe80bd21579d6c | EOG090C00HJ_2                                                                                       
15     | GTR+G      | 1993       | 4f3b5e76974b58e70739500483f9f5c5 | EOG090C00HT_1, EOG090C0814_1                                                                        
16     | GTR+G      | 1643       | 5a15ef76d2cf71f0ad2977696f611cd5 | EOG090C00HT_2                                                                                       
17     | GTR+G      | 1137       | de7b345b9782f9a9c41f3350898f8b98 | EOG090C00SW_1, EOG090C088I_1                                                                        
18     | GTR+G      | 755        | db17bd8c1031cbb29a1c9f129312adda | EOG090C00SW_2                                                                                       
19     | GTR+G      | 2478       | ff448dd186ae8583d44437a5b1bcab9d | EOG090C00VF_1, EOG090C02D8_1, EOG090C09U6_1                                                         
20     | GTR+G      | 1365       | f32d683f5d6bed09b8e6e0edd243cabc | EOG090C00VF_2                                                                                       
21     | GTR+G      | 783        | c5ab8652e8f8d97b38e0a545921a22c4 | EOG090C010X_1                                                                                       
22     | GTR+G      | 783        | 0f7d3d4c72691649b0624b2c0446eb01 | EOG090C010X_2                                                                                       
23     | GTR+G      | 1323       | f477a743dc6764a89ddc9f36e57d4109 | EOG090C0114_1                                                                                       
24     | GTR+G      | 1323       | 5dfc4542284f8c56e72fb31749c472bb | EOG090C0114_2                                                                                       
