alignment_id	length	n_missing	n_var	n_pi	mean_bpp	mut_rate	rate_var	min_ess
EOG090C0087	4320	0	2600	1286	0.8763	0.001458	0.7220	89.21167
EOG090C00AN	5841	0	2866	1616	0.9210	0.001567	0.5848	75.64159
EOG090C00B1	4392	0	2314	1088	0.8599	0.001683	0.8665	3.04703
EOG090C00BE	4419	0	2551	1441	0.9703	0.001727	0.7896	103.2659
EOG090C00BT	5607	0	2801	1492	0.9044	0.001218	0.7220	60.46591
EOG090C00E9	4440	0	1635	1006	0.8560	0.001161	0.6636	18.29857
EOG090C00HJ	4557	0	1421	916	0.9041	0.001174	0.6137	268.1986
EOG090C00HT	4929	0	2344	1242	0.8903	0.001068	0.5793	67.27601
EOG090C00SW	2265	0	948	578	0.8327	0.001153	1.0109	164.2689
EOG090C00VF	4095	0	2088	1181	0.9609	0.001788	0.9109	85.38737
EOG090C010X	2349	0	1217	609	0.8156	0.001292	0.5969	224.3613
EOG090C0114	3969	0	1828	882	0.9012	0.000927	0.8108	47.4047
EOG090C014P	3258	0	1595	855	0.8512	0.001391	0.5837	188.9682
EOG090C016M	3885	0	1737	944	0.8817	0.001178	0.4708	235.6067
EOG090C016S	2592	0	1049	539	0.8516	0.001139	1.1315	166.2161
EOG090C01AQ	2262	0	1349	687	0.8124	0.001813	0.6000	140.5875
EOG090C01BG	3132	0	1624	940	0.9074	0.001571	0.4165	340.1137
EOG090C01CW	2193	1	1472	756	0.6962	0.001791	0.7233	118.8262
EOG090C01EW	2214	0	1026	554	0.7680	0.001181	1.1304	142.2419
EOG090C01LV	3012	0	1011	567	0.6746	0.000996	0.6950	177.7557
EOG090C01M7	3555	1	1773	880	0.8873	0.001484	0.6087	82.26298
EOG090C01NW	2040	0	1045	567	0.8356	0.001583	0.5555	218.2971
EOG090C01O3	2691	0	1365	719	0.8860	0.001209	0.9402	112.3714
EOG090C01O8	1950	0	1011	557	0.6769	0.001488	1.0275	171.5148
